,Persentase Partisipasi,Persentase Suara sah,Persentase Suara Tidak Sah,cluster,nama_kecamatan
110,0.12816529960501744,0.33735521274834745,0.19734184287443335,0,SEBAWI
111,0.2916844489514978,0.29762717356567503,0.280037290085525,0,SEBERUANG
112,0.13790405253754678,0.3102370842795459,0.25378927495952164,0,SEGEDONG
113,0.09315800283783027,0.2454083321246303,0.3887328265782764,0,SEJANGKUNG
114,0.24166672409763867,0.42568158905492215,0.8369465911488765,3,SEKADAU HILIR
115,0.30577851100487763,0.39900012977421184,0.06902556693206656,1,SEKADAU HULU
116,0.04734928340271405,0.33768842895324447,0.19664823975195678,0,SEKAYAM
117,0.13543581784142278,0.3287355456370351,0.2152840126604666,0,SELAKAU
118,0.1322543573184326,0.3050813950703386,0.26452104106654883,0,SELAKAU TIMUR
119,0.33844153025244506,0.3825975496095655,0.10316817109386671,1,SELIMBAU
120,0.11430626608130556,0.37771413124213904,0.11333319456651549,2,SELUAS
121,0.2379215969657822,0.3894616015771515,0.08888038228058238,2,SEMITAU
122,0.1042817459077161,0.2925763481173078,0.2776592912624886,0,SEMPARUK
123,0.5182330199520129,0.4050126838442436,0.05352805664047079,1,SENGAH TEMILA
124,0.2764191801558644,0.4503609231961132,0.04179199097262881,1,SEPAUK
125,0.2287961861931489,0.3135990349966642,0.24679124408534275,0,SEPONTI
126,0.20471536417380354,0.3619689376411168,0.14610742404637184,2,SERAWAI
127,0.23160904761669787,0.3292695902568026,0.21417237851772492,2,SIDING
128,0.21644526979836154,0.3430297209242532,0.18553013432733828,2,SILAT HILIR
129,0.29291772122783,0.38295643075992203,0.10242114587712002,2,SILAT HULU
130,0.16977227884016022,0.3539514807825448,0.16279606993097667,2,SIMPANG DUA
131,0.17502180985958415,0.2178716769989073,0.4460514368627902,0,SIMPANG HILIR
132,0.14346887345334247,0.4434384158128504,0.7984506803558811,3,SIMPANG HULU
133,0.02599109574546643,0.3086315199543739,0.1780657849185216,0,SINGKAWANG BARAT
134,0.030477173590894302,0.32004120032257166,0.23338162873232093,0,SINGKAWANG SELATAN
135,0.16058845113020714,0.42948584224956843,0.8743416863967339,3,SINGKAWANG TENGAH
136,0.11831009290345451,0.3243754119657032,0.21791683097455622,0,SINGKAWANG TIMUR
137,0.2281561072357634,0.3111952732473924,0.2851744521844008,0,SINGKAWANG UTARA
138,0.18726382084281545,0.36735142697680256,0.13490356375390594,2,SINGKUP
