Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,,,,,,
46,"Jianwei Gao, Fengjia Guo, Zeyang Ma, Xin Huang",Multi-criteria decision-making framework for large-scale rooftop photovoltaic project site selection based on intuitionistic fuzzy sets,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621000211,,57,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107098,1568-4946,,102,,107098,107098,46,15.33,12,4,3,,,,,,,,,
76,"Yongming Song, Jun Hu",Large-scale group decision making with multiple stakeholders based on probabilistic linguistic preference relation,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619302285,,58,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.04.036,1568-4946,,80,,712,722,76,15.2,38,2,5,,,,,,,,,
43,"Xu Chen, Hugo Tianfield, Wenli Du",Bee-foraging learning particle swarm optimization,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621000570,,59,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107134,1568-4946,,102,,107134,107134,43,14.33,14,3,3,,,,,,,,,
43,"Haoran Li, Xinyu Li, Liang Gao",A discrete artificial bee colony algorithm for the distributed heterogeneous no-wait flowshop scheduling problem,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462030884X,,60,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106946,1568-4946,,100,,106946,106946,43,14.33,14,3,3,,,,,,,,,
57,"Zishu Cheng, Jiyang Wang",A new combined model based on multi-objective salp swarm optimization for wind speed forecasting,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620302349,,61,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106294,1568-4946,,92,,106294,106294,57,14.25,29,2,4,,,,,,,,,
57,"Xindi Wang, Xunjie Gou, Zeshui Xu",Assessment of traffic congestion with ORESTE method under double hierarchy hesitant fuzzy linguistic environment,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619306453,,62,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105864,1568-4946,,86,,105864,105864,57,14.25,19,3,4,,,,,,,,,
57,"Xiangyu Zhong, Xuanhua Xu",Clustering-based method for large group decision making with hesitant fuzzy linguistic information: Integrating correlation and consensus,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619307549,,63,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105973,1568-4946,,87,,105973,105973,57,14.25,29,2,4,,,,,,,,,
71,"Zhonghua Liu, Jingjing Wang, Gang Liu, Lin Zhang",Discriminative low-rank preserving projection for dimensionality reduction,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619305496,,64,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105768,1568-4946,,85,,105768,105768,71,14.2,18,4,5,,,,,,,,,
56,"Ruochen Liu, Rui Ren, Jin Liu, Jing Liu",A clustering and dimensionality reduction based evolutionary algorithm for large-scale multi-objective problems,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620300600,,65,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106120,1568-4946,,89,,106120,106120,56,14,14,4,4,,,,,,,,,
56,"Lifang He, Songwei Huang",An efficient krill herd algorithm for color image multilevel thresholding segmentation problem,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462030003X,,66,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106063,1568-4946,,89,,106063,106063,56,14,28,2,4,,,,,,,,,
